Id;Monitoring Time;eval/maxepochs;hyper-parameters/mlp_dropout;hyper-parameters/dropout;hyper-parameters/num_transformer_blocks;loso/accuracy;loso/precision;loso/recall;loso/f1;Column1;hyper-parameters/head_size;hyper-parameters/num_heads
1;1484;110;0.25;0.25;8;0.9213;0.9265;0.9176;0.9218;non private;256;4
2;1400;110;0.25;0.25;8;0.9196;0.9184;0.9051;0.9113;non private;256;4
3;1504;110;0.25;0.25;8;0.9196;0.9144;0.9160;0.9151;non private;256;4
4;1342;110;0.25;0.25;8;0.9178;0.9190;0.9142;0.9165;non private;256;4
5;1470;110;0.25;0.25;8;0.9177;0.9159;0.9177;0.9168;non private;256;4
6;1407;110;0.4;0.25;8;0.9177;0.9195;0.9104;0.9148;non private;256;4
7;1423;110;0.25;0.25;8;0.8851;0.8164;0.6997;0.7473;epsilon 1;256;4
8;1358;110;0.25;0.25;8;0.8756;0.7091;0.7680;0.7305;epsilon 1;256;4
9;1501;110;0.25;0.25;7;0.8740;0.9127;0.5634;0.6913;epsilon 10;256;4
10;1380;110;0.25;0.25;7;0.8641;0.5000;1.0000;0.6667;epsilon 0.1;256;4
11;2126;110;0.25;0.25;8;0.7904;0.5019;1.0000;0.6683;epsilon 1;256;4
12;1505;110;0.25;0.25;8;0.7894;0.6819;0.8796;0.7670;epsilon 10;256;4
13;1319;110;0.25;0.25;7;0.7840;0.6624;0.7944;0.7147;epsilon 0.1;256;4
14;1526;110;0.25;0.25;7;0.7784;0.7790;0.7873;0.7820;epsilon 10;256;4
15;1483;110;0.25;0.25;8;0.7672;0.7185;0.9176;0.8046;epsilon 10;256;4
16;1503;110;0.25;0.25;7;0.7656;0.6818;0.9510;0.7927;epsilon 10;256;4
17;1509;110;0.25;0.25;7;0.7580;0.8807;0.6278;0.7312;epsilon 10;256;4
18;1514;110;0.25;0.25;8;0.7424;0.6587;0.9415;0.7730;epsilon 1;256;4
19;1313;110;0.25;0.25;7;0.7176;0.6634;0.9156;0.7680;epsilon 0.1;256;4
20;2278;110;0.25;0.25;8;0.7083;0.6932;0.6445;0.6665;epsilon 1;256;4
21;1288;110;0.25;0.25;7;0.7077;0.7355;0.5142;0.5951;epsilon 0.1;256;4
22;1356;110;0.25;0.25;7;0.6879;0.7034;0.6915;0.6897;epsilon 1;256;4
23;1451;110;0.25;0.25;7;0.6063;0.5246;0.9835;0.6837;epsilon 0.1;256;4
24;2127;110;0.25;0.25;8;0.5894;0.5600;0.9156;0.6944;epsilon 0.1;256;4
